OrderID,Product Name,Supplier Name,Category Name,Customer Name,Customer City,Customer Country,Customer Continent,Employee Name,Employee Designation,OrderDate,Total Purchase Amount
10254,Longlife Tofu,Tokyo Traders,Produce,Chop-suey Chinese,Bern,Switzerland,Europe,Steven Buchanan,Sales Manager,8/11/94 0:00,168
10255,Chang,Exotic Liquids,Beverages,Richter Supermarkt,Genève,Switzerland,Europe,Anne Dodsworth,Sales Representative,8/12/94 0:00,304
10255,Perth Pasties,"G'day, Mate",Meat/Poultry,Richter Supermarkt,Genève,Switzerland,Europe,Anne Dodsworth,Sales Representative,8/12/94 0:00,486.5
10255,Inlagd Sill,Svensk Sjöföda AB,Seafood,Richter Supermarkt,Genève,Switzerland,Europe,Anne Dodsworth,Sales Representative,8/12/94 0:00,380
10255,Raclette Courdavault,Gai pâturage,Dairy Products,Richter Supermarkt,Genève,Switzerland,Europe,Anne Dodsworth,Sales Representative,8/12/94 0:00,1320
10256,Perth Pasties,"G'day, Mate",Meat/Poultry,Wellington Importadora,Resende,Brazil,South America,Janet Leverling,Sales Representative,8/15/94 0:00,393
10256,Original Frankfurter grüne Soße,Plutzer Lebensmittelgroßmärkte AG,Condiments,Wellington Importadora,Resende,Brazil,South America,Janet Leverling,Sales Representative,8/15/94 0:00,124.8
10257,Schoggi Schokolade,Heli Süßwaren GmbH & Co. KG,Confections,HILARIÓN-Abastos,San Cristóbal,Venezuela,South America,Margaret Peacock,Sales Representative,8/16/94 0:00,877.5
10257,Chartreuse verte,Aux joyeux ecclésiastiques,Beverages,HILARIÓN-Abastos,San Cristóbal,Venezuela,South America,Margaret Peacock,Sales Representative,8/16/94 0:00,86.4
10257,Original Frankfurter grüne Soße,Plutzer Lebensmittelgroßmärkte AG,Condiments,HILARIÓN-Abastos,San Cristóbal,Venezuela,South America,Margaret Peacock,Sales Representative,8/16/94 0:00,156
10258,Chang,Exotic Liquids,Beverages,Ernst Handel,Graz,Austria,Europe,Nancy Davolio,Sales Representative,8/17/94 0:00,759.8
10258,Chef Anton's Gumbo Mix,New Orleans Cajun Delights,Condiments,Ernst Handel,Graz,Austria,Europe,Nancy Davolio,Sales Representative,8/17/94 0:00,1104.8
10258,Mascarpone Fabioli,Formaggi Fortini s.r.l.,Dairy Products,Ernst Handel,Graz,Austria,Europe,Nancy Davolio,Sales Representative,8/17/94 0:00,153.4
10259,Sir Rodney's Scones,"Specialty Biscuits, Ltd.",Confections,Centro comercial Moctezuma,México D.F.,Mexico,North America,Margaret Peacock,Sales Representative,8/18/94 0:00,80
10259,Gravad lax,Svensk Sjöföda AB,Seafood,Centro comercial Moctezuma,México D.F.,Mexico,North America,Margaret Peacock,Sales Representative,8/18/94 0:00,20.8
10260,Jack's New England Clam Chowder,New England Seafood Cannery,Seafood,Ottilies Käseladen,Köln,Germany,Europe,Margaret Peacock,Sales Representative,8/19/94 0:00,122.95
10260,Ravioli Angelo,Pasta Buttini s.r.l.,Grains/Cereals,Ottilies Käseladen,Köln,Germany,Europe,Margaret Peacock,Sales Representative,8/19/94 0:00,780
10260,Tarte au sucre,Forêts d'érables,Confections,Ottilies Käseladen,Köln,Germany,Europe,Margaret Peacock,Sales Representative,8/19/94 0:00,590.75
10260,Outback Lager,"Pavlova, Ltd.",Beverages,Ottilies Käseladen,Köln,Germany,Europe,Margaret Peacock,Sales Representative,8/19/94 0:00,251.75
10261,Sir Rodney's Scones,"Specialty Biscuits, Ltd.",Confections,Que Delícia,Rio de Janeiro,Brazil,South America,Margaret Peacock,Sales Representative,8/19/94 0:00,160
10261,Steeleye Stout,Bigfoot Breweries,Beverages,Que Delícia,Rio de Janeiro,Brazil,South America,Margaret Peacock,Sales Representative,8/19/94 0:00,288
10262,Chef Anton's Gumbo Mix,New Orleans Cajun Delights,Condiments,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Laura Callahan,Inside Sales Coordinator,8/22/94 0:00,203.8
10262,Uncle Bob's Organic Dried Pears,Grandma Kelly's Homestead,Produce,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Laura Callahan,Inside Sales Coordinator,8/22/94 0:00,360
10262,Gnocchi di nonna Alice,Pasta Buttini s.r.l.,Grains/Cereals,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Laura Callahan,Inside Sales Coordinator,8/22/94 0:00,60.8
10263,Pavlova,"Pavlova, Ltd.",Confections,Ernst Handel,Graz,Austria,Europe,Anne Dodsworth,Sales Representative,8/23/94 0:00,833.75
10263,Guaraná Fantástica,Refrescos Americanas LTDA,Beverages,Ernst Handel,Graz,Austria,Europe,Anne Dodsworth,Sales Representative,8/23/94 0:00,100.8
10263,Nord-Ost Matjeshering,Nord-Ost-Fisch Handelsgesellschaft mbH,Seafood,Ernst Handel,Graz,Austria,Europe,Anne Dodsworth,Sales Representative,8/23/94 0:00,1241.75
10263,Longlife Tofu,Tokyo Traders,Produce,Ernst Handel,Graz,Austria,Europe,Anne Dodsworth,Sales Representative,8/23/94 0:00,287.75
10264,Chang,Exotic Liquids,Beverages,Folk och fä HB,Bräcke,Sweden,Europe,Michael Suyama,Sales Representative,8/24/94 0:00,532
10264,Jack's New England Clam Chowder,New England Seafood Cannery,Seafood,Folk och fä HB,Bräcke,Sweden,Europe,Michael Suyama,Sales Representative,8/24/94 0:00,192.35
10265,Alice Mutton,"Pavlova, Ltd.",Meat/Poultry,Blondel père et fils,Strasbourg,France,Europe,Andrew Fuller,"Vice President, Sales",8/25/94 0:00,936
10265,Outback Lager,"Pavlova, Ltd.",Beverages,Blondel père et fils,Strasbourg,France,Europe,Andrew Fuller,"Vice President, Sales",8/25/94 0:00,240
10266,Queso Manchego La Pastora,Cooperativa de Quesos 'Las Cabras',Dairy Products,Wartian Herkku,Oulu,Finland,Europe,Janet Leverling,Sales Representative,8/26/94 0:00,364.75
10267,Boston Crab Meat,New England Seafood Cannery,Seafood,Frankenversand,München,Germany,Europe,Margaret Peacock,Sales Representative,8/29/94 0:00,735
10267,Raclette Courdavault,Gai pâturage,Dairy Products,Frankenversand,München,Germany,Europe,Margaret Peacock,Sales Representative,8/29/94 0:00,3079.85
10267,Lakkalikööri,Karkki Oy,Beverages,Frankenversand,München,Germany,Europe,Margaret Peacock,Sales Representative,8/29/94 0:00,215.85
10268,Thüringer Rostbratwurst,Plutzer Lebensmittelgroßmärkte AG,Meat/Poultry,GROSELLA-Restaurante,Caracas,Venezuela,South America,Laura Callahan,Inside Sales Coordinator,8/30/94 0:00,990
10268,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,GROSELLA-Restaurante,Caracas,Venezuela,South America,Laura Callahan,Inside Sales Coordinator,8/30/94 0:00,111.2
10269,Geitost,Norske Meierier,Dairy Products,White Clover Markets,Seattle,USA,North America,Steven Buchanan,Sales Manager,8/31/94 0:00,119.95
10269,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,White Clover Markets,Seattle,USA,North America,Steven Buchanan,Sales Manager,8/31/94 0:00,555.95
10270,Inlagd Sill,Svensk Sjöföda AB,Seafood,Wartian Herkku,Oulu,Finland,Europe,Nancy Davolio,Sales Representative,9/1/94 0:00,456
10270,Ipoh Coffee,Leka Trading,Beverages,Wartian Herkku,Oulu,Finland,Europe,Nancy Davolio,Sales Representative,9/1/94 0:00,920
10271,Geitost,Norske Meierier,Dairy Products,Split Rail Beer & Ale,Lander,USA,North America,Michael Suyama,Sales Representative,9/1/94 0:00,48
10272,Sir Rodney's Marmalade,"Specialty Biscuits, Ltd.",Confections,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Michael Suyama,Sales Representative,9/2/94 0:00,388.8
10272,Gorgonzola Telino,Formaggi Fortini s.r.l.,Dairy Products,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Michael Suyama,Sales Representative,9/2/94 0:00,400
10272,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Michael Suyama,Sales Representative,9/2/94 0:00,667.2
10273,Ikura,Tokyo Traders,Seafood,QUICK-Stop,Cunewalde,Germany,Europe,Janet Leverling,Sales Representative,9/5/94 0:00,595.15
10273,Gorgonzola Telino,Formaggi Fortini s.r.l.,Dairy Products,QUICK-Stop,Cunewalde,Germany,Europe,Janet Leverling,Sales Representative,9/5/94 0:00,149.95
10273,Geitost,Norske Meierier,Dairy Products,QUICK-Stop,Cunewalde,Germany,Europe,Janet Leverling,Sales Representative,9/5/94 0:00,40
10273,Boston Crab Meat,New England Seafood Cannery,Seafood,QUICK-Stop,Cunewalde,Germany,Europe,Janet Leverling,Sales Representative,9/5/94 0:00,881.95
10273,Lakkalikööri,Karkki Oy,Beverages,QUICK-Stop,Cunewalde,Germany,Europe,Janet Leverling,Sales Representative,9/5/94 0:00,475.15
10274,Fløtemysost,Norske Meierier,Dairy Products,Vins et alcools Chevalier,Reims,France,Europe,Michael Suyama,Sales Representative,9/6/94 0:00,344
10274,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,Vins et alcools Chevalier,Reims,France,Europe,Michael Suyama,Sales Representative,9/6/94 0:00,194.6
10275,Guaraná Fantástica,Refrescos Americanas LTDA,Beverages,Magazzini Alimentari Riuniti,Bergamo,Italy,Europe,Nancy Davolio,Sales Representative,9/7/94 0:00,43.15
10275,Raclette Courdavault,Gai pâturage,Dairy Products,Magazzini Alimentari Riuniti,Bergamo,Italy,Europe,Nancy Davolio,Sales Representative,9/7/94 0:00,263.95
10276,Ikura,Tokyo Traders,Seafood,Tortuga Restaurante,México D.F.,Mexico,North America,Laura Callahan,Inside Sales Coordinator,9/8/94 0:00,372
10276,Konbu,Mayumi's,Seafood,Tortuga Restaurante,México D.F.,Mexico,North America,Laura Callahan,Inside Sales Coordinator,9/8/94 0:00,48
10277,Rössle Sauerkraut,Plutzer Lebensmittelgroßmärkte AG,Produce,Morgenstern Gesundkost,Leipzig,Germany,Europe,Andrew Fuller,"Vice President, Sales",9/9/94 0:00,728
10277,Tarte au sucre,Forêts d'érables,Confections,Morgenstern Gesundkost,Leipzig,Germany,Europe,Andrew Fuller,"Vice President, Sales",9/9/94 0:00,472.8
10278,Gula Malacca,Leka Trading,Condiments,Berglunds snabbköp,Luleå,Sweden,Europe,Laura Callahan,Inside Sales Coordinator,9/12/94 0:00,248
10278,Raclette Courdavault,Gai pâturage,Dairy Products,Berglunds snabbköp,Luleå,Sweden,Europe,Laura Callahan,Inside Sales Coordinator,9/12/94 0:00,660
10278,Vegie-spread,"Pavlova, Ltd.",Condiments,Berglunds snabbköp,Luleå,Sweden,Europe,Laura Callahan,Inside Sales Coordinator,9/12/94 0:00,280.8
10278,Röd Kaviar,Svensk Sjöföda AB,Seafood,Berglunds snabbköp,Luleå,Sweden,Europe,Laura Callahan,Inside Sales Coordinator,9/12/94 0:00,300
10279,Alice Mutton,"Pavlova, Ltd.",Meat/Poultry,Lehmanns Marktstand,Frankfurt a.M. ,Germany,Europe,Laura Callahan,Inside Sales Coordinator,9/13/94 0:00,467.75
10280,Guaraná Fantástica,Refrescos Americanas LTDA,Beverages,Berglunds snabbköp,Luleå,Sweden,Europe,Andrew Fuller,"Vice President, Sales",9/14/94 0:00,43.2
10280,Pâté chinois,Ma Maison,Meat/Poultry,Berglunds snabbköp,Luleå,Sweden,Europe,Andrew Fuller,"Vice President, Sales",9/14/94 0:00,384
10280,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,Beverages,Berglunds snabbköp,Luleå,Sweden,Europe,Andrew Fuller,"Vice President, Sales",9/14/94 0:00,186
10281,Teatime Chocolate Biscuits,"Specialty Biscuits, Ltd.",Confections,Romero y tomillo,Madrid,Spain,Europe,Margaret Peacock,Sales Representative,9/14/94 0:00,7.3
10281,Guaraná Fantástica,Refrescos Americanas LTDA,Beverages,Romero y tomillo,Madrid,Spain,Europe,Margaret Peacock,Sales Representative,9/14/94 0:00,21.6
10281,Steeleye Stout,Bigfoot Breweries,Beverages,Romero y tomillo,Madrid,Spain,Europe,Margaret Peacock,Sales Representative,9/14/94 0:00,57.6
10282,Nord-Ost Matjeshering,Nord-Ost-Fisch Handelsgesellschaft mbH,Seafood,Romero y tomillo,Madrid,Spain,Europe,Margaret Peacock,Sales Representative,9/15/94 0:00,124.2
10282,Ravioli Angelo,Pasta Buttini s.r.l.,Grains/Cereals,Romero y tomillo,Madrid,Spain,Europe,Margaret Peacock,Sales Representative,9/15/94 0:00,31.2
10283,Genen Shouyu,Mayumi's,Condiments,LILA-Supermercado,Barquisimeto,Venezuela,South America,Janet Leverling,Sales Representative,9/16/94 0:00,248
10283,Teatime Chocolate Biscuits,"Specialty Biscuits, Ltd.",Confections,LILA-Supermercado,Barquisimeto,Venezuela,South America,Janet Leverling,Sales Representative,9/16/94 0:00,131.4
10283,Camembert Pierrot,Gai pâturage,Dairy Products,LILA-Supermercado,Barquisimeto,Venezuela,South America,Janet Leverling,Sales Representative,9/16/94 0:00,952
10283,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,LILA-Supermercado,Barquisimeto,Venezuela,South America,Janet Leverling,Sales Representative,9/16/94 0:00,83.4
10284,Schoggi Schokolade,Heli Süßwaren GmbH & Co. KG,Confections,Lehmanns Marktstand,Frankfurt a.M. ,Germany,Europe,Margaret Peacock,Sales Representative,9/19/94 0:00,526.25
10284,Gula Malacca,Leka Trading,Condiments,Lehmanns Marktstand,Frankfurt a.M. ,Germany,Europe,Margaret Peacock,Sales Representative,9/19/94 0:00,325.5
10284,Camembert Pierrot,Gai pâturage,Dairy Products,Lehmanns Marktstand,Frankfurt a.M. ,Germany,Europe,Margaret Peacock,Sales Representative,9/19/94 0:00,543.75
10284,Laughing Lumberjack Lager,Bigfoot Breweries,Beverages,Lehmanns Marktstand,Frankfurt a.M. ,Germany,Europe,Margaret Peacock,Sales Representative,9/19/94 0:00,55.75
10285,Chai,Exotic Liquids,Beverages,QUICK-Stop,Cunewalde,Germany,Europe,Nancy Davolio,Sales Representative,9/20/94 0:00,647.8
10285,Boston Crab Meat,New England Seafood Cannery,Seafood,QUICK-Stop,Cunewalde,Germany,Europe,Nancy Davolio,Sales Representative,9/20/94 0:00,587.8
10285,Perth Pasties,"G'day, Mate",Meat/Poultry,QUICK-Stop,Cunewalde,Germany,Europe,Nancy Davolio,Sales Representative,9/20/94 0:00,943
10286,Steeleye Stout,Bigfoot Breweries,Beverages,QUICK-Stop,Cunewalde,Germany,Europe,Laura Callahan,Inside Sales Coordinator,9/21/94 0:00,1440
10286,Tarte au sucre,Forêts d'érables,Confections,QUICK-Stop,Cunewalde,Germany,Europe,Laura Callahan,Inside Sales Coordinator,9/21/94 0:00,1576
10287,Pavlova,"Pavlova, Ltd.",Confections,Ricardo Adocicados,Rio de Janeiro,Brazil,South America,Laura Callahan,Inside Sales Coordinator,9/22/94 0:00,555.85
10287,Sasquatch Ale,Bigfoot Breweries,Beverages,Ricardo Adocicados,Rio de Janeiro,Brazil,South America,Laura Callahan,Inside Sales Coordinator,9/22/94 0:00,224
10287,Spegesild,Lyngbysild,Seafood,Ricardo Adocicados,Rio de Janeiro,Brazil,South America,Laura Callahan,Inside Sales Coordinator,9/22/94 0:00,143.85
10288,Tourtière,Ma Maison,Meat/Poultry,Reggiani Caseifici,Reggio Emilia,Italy,Europe,Margaret Peacock,Sales Representative,9/23/94 0:00,58.9
10288,Scottish Longbreads,"Specialty Biscuits, Ltd.",Confections,Reggiani Caseifici,Reggio Emilia,Italy,Europe,Margaret Peacock,Sales Representative,9/23/94 0:00,29.9
10289,Aniseed Syrup,Exotic Liquids,Condiments,B's Beverages,London,UK,Europe,Robert King,Sales Representative,9/26/94 0:00,240
10289,Wimmers gute Semmelknödel,Plutzer Lebensmittelgroßmärkte AG,Grains/Cereals,B's Beverages,London,UK,Europe,Robert King,Sales Representative,9/26/94 0:00,239.4
10290,Chef Anton's Gumbo Mix,New Orleans Cajun Delights,Condiments,Comércio Mineiro,São Paulo,Brazil,South America,Laura Callahan,Inside Sales Coordinator,9/27/94 0:00,340
10290,Thüringer Rostbratwurst,Plutzer Lebensmittelgroßmärkte AG,Meat/Poultry,Comércio Mineiro,São Paulo,Brazil,South America,Laura Callahan,Inside Sales Coordinator,9/27/94 0:00,1485
10290,Maxilaku,Karkki Oy,Confections,Comércio Mineiro,São Paulo,Brazil,South America,Laura Callahan,Inside Sales Coordinator,9/27/94 0:00,240
10290,Original Frankfurter grüne Soße,Plutzer Lebensmittelgroßmärkte AG,Condiments,Comércio Mineiro,São Paulo,Brazil,South America,Laura Callahan,Inside Sales Coordinator,9/27/94 0:00,104
10291,Konbu,Mayumi's,Seafood,Que Delícia,Rio de Janeiro,Brazil,South America,Michael Suyama,Sales Representative,9/27/94 0:00,95.9
10291,Gula Malacca,Leka Trading,Condiments,Que Delícia,Rio de Janeiro,Brazil,South America,Michael Suyama,Sales Representative,9/27/94 0:00,371.9
10291,Manjimup Dried Apples,"G'day, Mate",Produce,Que Delícia,Rio de Janeiro,Brazil,South America,Michael Suyama,Sales Representative,9/27/94 0:00,84.7
10292,Sir Rodney's Marmalade,"Specialty Biscuits, Ltd.",Confections,Tradição Hipermercados,São Paulo,Brazil,South America,Nancy Davolio,Sales Representative,9/28/94 0:00,1296
10293,Carnarvon Tigers,"Pavlova, Ltd.",Seafood,Tortuga Restaurante,México D.F.,Mexico,North America,Nancy Davolio,Sales Representative,9/29/94 0:00,600
10293,Guaraná Fantástica,Refrescos Americanas LTDA,Beverages,Tortuga Restaurante,México D.F.,Mexico,North America,Nancy Davolio,Sales Representative,9/29/94 0:00,36
10293,Vegie-spread,"Pavlova, Ltd.",Condiments,Tortuga Restaurante,México D.F.,Mexico,North America,Nancy Davolio,Sales Representative,9/29/94 0:00,175.5
10293,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,Beverages,Tortuga Restaurante,México D.F.,Mexico,North America,Nancy Davolio,Sales Representative,9/29/94 0:00,37.2
10294,Chai,Exotic Liquids,Beverages,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Margaret Peacock,Sales Representative,9/30/94 0:00,259.2
10294,Alice Mutton,"Pavlova, Ltd.",Meat/Poultry,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Margaret Peacock,Sales Representative,9/30/94 0:00,468
10294,Ipoh Coffee,Leka Trading,Beverages,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Margaret Peacock,Sales Representative,9/30/94 0:00,552
10294,Camembert Pierrot,Gai pâturage,Dairy Products,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Margaret Peacock,Sales Representative,9/30/94 0:00,571.2
10294,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,Beverages,Rattlesnake Canyon Grocery,Albuquerque,USA,North America,Margaret Peacock,Sales Representative,9/30/94 0:00,37.2
10295,Gnocchi di nonna Alice,Pasta Buttini s.r.l.,Grains/Cereals,Vins et alcools Chevalier,Reims,France,Europe,Andrew Fuller,"Vice President, Sales",10/3/94 0:00,121.6
10296,Queso Cabrales,Cooperativa de Quesos 'Las Cabras',Dairy Products,LILA-Supermercado,Barquisimeto,Venezuela,South America,Michael Suyama,Sales Representative,10/4/94 0:00,201.6
10296,Pavlova,"Pavlova, Ltd.",Confections,LILA-Supermercado,Barquisimeto,Venezuela,South America,Michael Suyama,Sales Representative,10/4/94 0:00,417
10296,Gudbrandsdalsost,Norske Meierier,Dairy Products,LILA-Supermercado,Barquisimeto,Venezuela,South America,Michael Suyama,Sales Representative,10/4/94 0:00,432
10297,Chartreuse verte,Aux joyeux ecclésiastiques,Beverages,Blondel père et fils,Strasbourg,France,Europe,Steven Buchanan,Sales Manager,10/5/94 0:00,864
10297,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,Blondel père et fils,Strasbourg,France,Europe,Steven Buchanan,Sales Manager,10/5/94 0:00,556
10298,Chang,Exotic Liquids,Beverages,Hungry Owl All-Night Grocers,Cork,Ireland,Europe,Michael Suyama,Sales Representative,10/6/94 0:00,608
10298,Inlagd Sill,Svensk Sjöföda AB,Seafood,Hungry Owl All-Night Grocers,Cork,Ireland,Europe,Michael Suyama,Sales Representative,10/6/94 0:00,607.75
10298,Raclette Courdavault,Gai pâturage,Dairy Products,Hungry Owl All-Night Grocers,Cork,Ireland,Europe,Michael Suyama,Sales Representative,10/6/94 0:00,1319.75
10298,Tarte au sucre,Forêts d'érables,Confections,Hungry Owl All-Night Grocers,Cork,Ireland,Europe,Michael Suyama,Sales Representative,10/6/94 0:00,591
10299,Teatime Chocolate Biscuits,"Specialty Biscuits, Ltd.",Confections,Ricardo Adocicados,Rio de Janeiro,Brazil,South America,Margaret Peacock,Sales Representative,10/7/94 0:00,109.5
10299,Outback Lager,"Pavlova, Ltd.",Beverages,Ricardo Adocicados,Rio de Janeiro,Brazil,South America,Margaret Peacock,Sales Representative,10/7/94 0:00,240
10300,Louisiana Hot Spiced Okra,New Orleans Cajun Delights,Condiments,Magazzini Alimentari Riuniti,Bergamo,Italy,Europe,Andrew Fuller,"Vice President, Sales",10/10/94 0:00,408
10300,Scottish Longbreads,"Specialty Biscuits, Ltd.",Confections,Magazzini Alimentari Riuniti,Bergamo,Italy,Europe,Andrew Fuller,"Vice President, Sales",10/10/94 0:00,200
10301,Boston Crab Meat,New England Seafood Cannery,Seafood,Die Wandernde Kuh,Stuttgart,Germany,Europe,Laura Callahan,Inside Sales Coordinator,10/10/94 0:00,147
10301,Gnocchi di nonna Alice,Pasta Buttini s.r.l.,Grains/Cereals,Die Wandernde Kuh,Stuttgart,Germany,Europe,Laura Callahan,Inside Sales Coordinator,10/10/94 0:00,608
10302,Alice Mutton,"Pavlova, Ltd.",Meat/Poultry,Suprêmes délices,Charleroi,Belgium,Europe,Margaret Peacock,Sales Representative,10/11/94 0:00,1248
10302,Rössle Sauerkraut,Plutzer Lebensmittelgroßmärkte AG,Produce,Suprêmes délices,Charleroi,Belgium,Europe,Margaret Peacock,Sales Representative,10/11/94 0:00,1019.2
10302,Ipoh Coffee,Leka Trading,Beverages,Suprêmes délices,Charleroi,Belgium,Europe,Margaret Peacock,Sales Representative,10/11/94 0:00,441.6
10303,Boston Crab Meat,New England Seafood Cannery,Seafood,Godos Cocina Típica,Sevilla,Spain,Europe,Robert King,Sales Representative,10/12/94 0:00,587.9
10303,Louisiana Fiery Hot Pepper Sauce,New Orleans Cajun Delights,Condiments,Godos Cocina Típica,Sevilla,Spain,Europe,Robert King,Sales Representative,10/12/94 0:00,503.9
10303,Scottish Longbreads,"Specialty Biscuits, Ltd.",Confections,Godos Cocina Típica,Sevilla,Spain,Europe,Robert King,Sales Representative,10/12/94 0:00,149.9
10304,Maxilaku,Karkki Oy,Confections,Tortuga Restaurante,México D.F.,Mexico,North America,Nancy Davolio,Sales Representative,10/13/94 0:00,480
10304,Raclette Courdavault,Gai pâturage,Dairy Products,Tortuga Restaurante,México D.F.,Mexico,North America,Nancy Davolio,Sales Representative,10/13/94 0:00,440
10304,Fløtemysost,Norske Meierier,Dairy Products,Tortuga Restaurante,México D.F.,Mexico,North America,Nancy Davolio,Sales Representative,10/13/94 0:00,34.4
10305,Carnarvon Tigers,"Pavlova, Ltd.",Seafood,Old World Delicatessen,Anchorage,USA,North America,Laura Callahan,Inside Sales Coordinator,10/14/94 0:00,1249.9
10305,Thüringer Rostbratwurst,Plutzer Lebensmittelgroßmärkte AG,Meat/Poultry,Old World Delicatessen,Anchorage,USA,North America,Laura Callahan,Inside Sales Coordinator,10/14/94 0:00,2474.9
10305,Chartreuse verte,Aux joyeux ecclésiastiques,Beverages,Old World Delicatessen,Anchorage,USA,North America,Laura Callahan,Inside Sales Coordinator,10/14/94 0:00,431.9
10306,Nord-Ost Matjeshering,Nord-Ost-Fisch Handelsgesellschaft mbH,Seafood,Romero y tomillo,Madrid,Spain,Europe,Nancy Davolio,Sales Representative,10/17/94 0:00,207
10306,Perth Pasties,"G'day, Mate",Meat/Poultry,Romero y tomillo,Madrid,Spain,Europe,Nancy Davolio,Sales Representative,10/17/94 0:00,262
10306,Tourtière,Ma Maison,Meat/Poultry,Romero y tomillo,Madrid,Spain,Europe,Nancy Davolio,Sales Representative,10/17/94 0:00,29.5
